gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_accessions	annotation_description
CP020618.1_33	37402	38268	867	1	0.332	11	GGAGG	GENOMAD.121654.CP	1.023e-49	181	0	0	0	2561	Caudoviricetes	NA	PF01343.21;K01258;COG1024;TIGR03210	Peptidase family S49
CP020618.1_34	38261	39205	945	1	0.339	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_35	39377	40345	969	1	0.368	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_36	40363	42123	1761	1	0.329	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_37	42438	43790	1353	-1	0.305	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_38	44139	45257	1119	1	0.339	11	GGA/GAG/AGG	GENOMAD.124020.CP	8.149e-09	60	0	0	0	1	NA	NA	NA	NA
CP020618.1_39	45293	46564	1272	1	0.338	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_40	46796	47506	711	1	0.323	11	GGAGG	GENOMAD.036345.CC	0.0001486	45	0	0	0	1	NA	NA	PF03709.18;K11329;TIGR01387;COG3947	heavy metal response regulator
CP020618.1_41	47506	49203	1698	1	0.274	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_42	49384	52020	2637	1	0.307	11	GGAGG	GENOMAD.090436.VC	9.873e-10	65	0	0	0	2561	Caudoviricetes	NA	PF00476.23;COG0749	DNA polymerase I - 3'-5' exonuclease and polymerase domains
CP020618.1_43	52036	52908	873	1	0.309	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_44	52930	53532	603	1	0.325	11	GGA/GAG/AGG	GENOMAD.124185.CV	4.551e-15	76	0	0	0	1	NA	NA	PF01121.23;K00859;TIGR00152;COG0237	dephospho-CoA kinase
CP020618.1_45	53721	54746	1026	1	0.324	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_46	55029	55499	471	1	0.346	11	GGAG/GAGG	GENOMAD.166919.VC	9.352e-05	44	0	0	0	1	NA	NA	PF04606.15;TIGR00244;COG1327	transcriptional regulator NrdR
CP020618.1_47	55500	56870	1371	1	0.290	11	GGAG/GAGG	GENOMAD.145377.CP	1.195e-57	211	0	0	0	1	NA	NA	K03346;COG3611	Replication initiation and membrane attachment protein DnaB
CP020618.1_48	56871	57791	921	1	0.305	11	GGAGG	GENOMAD.167337.CP	3.236e-12	70	0	0	0	1	NA	NA	PF07319.14;K11144	Primosomal protein DnaI N-terminus
CP020618.1_49	58102	60078	1977	1	0.337	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_50	60415	61908	1494	1	0.343	11	GGAG/GAGG	GENOMAD.168467.CP	3.447e-09	62	0	0	0	1	NA	NA	K03294;COG0833	Amino acid permease
CP020618.1_51	62077	62649	573	1	0.330	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_52	62677	62877	201	1	0.308	11	AGGAGG	GENOMAD.073407.CV	9.298e-14	66	0	0	0	1	NA	NA	PF01632.22;TIGR00001;COG0291	ribosomal protein L35
CP020618.1_53	62931	63287	357	1	0.359	11	AGGAGG	GENOMAD.080218.CV	1.522e-47	166	0	0	0	1	NA	NA	PF00453.21;TIGR01032;K02887;COG0292	ribosomal protein L20
CP020618.1_54	63469	64080	612	1	0.289	11	AGGAG	GENOMAD.162068.VC	1.42e-24	104	0	0	0	2561	Caudoviricetes	NA	COG4112;TIGR02150;K12944	Predicted phosphoesterase, NUDIX family
CP020618.1_55	64093	65010	918	1	0.253	11	AGxAGG/AGGxGG	GENOMAD.028790.CC	3.085e-121	389	0	0	0	1	NA	NA	PF11428.11	NA
CP020618.1_56	65165	66481	1317	1	0.317	11	GGAGG	GENOMAD.119118.CV	4.501e-45	173	0	0	0	2561	Caudoviricetes	NA	PF05697.16;PF05698.17;TIGR00115;K03545;COG0544	trigger factor
CP020618.1_57	66639	67901	1263	1	0.326	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_58	68053	68643	591	1	0.283	11	GGAG/GAGG	GENOMAD.090247.CV	2.821e-22	97	0	0	0	2561	Caudoviricetes	NA	PF05049.16;K03978;TIGR03598;COG0218	ribosome biogenesis GTP-binding protein YsxC/EngB
CP020618.1_59	68780	70117	1338	1	0.301	11	GGAGG	GENOMAD.079440.CP	3.747e-60	218	0	0	0	1	NA	NA	PF05201.18;PF01488.23;K02492;TIGR01035;COG0373	glutamyl-tRNA reductase
CP020618.1_60	70139	70951	813	1	0.257	11	None	GENOMAD.141817.CP	3.596e-31	126	0	0	0	1	NA	NA	PF01578.23;K02497;COG4137;TIGR03144	ABC-type uncharacterized transport system, permease component
CP020618.1_61	70980	71912	933	1	0.335	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_62	71944	72615	672	1	0.302	11	AGGA/GGAG/GAGG	GENOMAD.089078.CP	3.643e-88	289	0	0	0	1	NA	NA	PF02602.18;COG1587;K13543	Uroporphyrinogen-III synthase HemD
CP020618.1_63	72615	73589	975	1	0.331	11	AGxAGG/AGGxGG	GENOMAD.121288.CP	9.481e-45	168	0	0	0	1	NA	NA	PF00490.24;COG0113;K01698	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase
CP020618.1_64	73611	74894	1284	1	0.347	11	AGGAGG	GENOMAD.118353.CP	5.194e-27	118	0	0	0	1	NA	NA	NA	NA
CP020618.1_65	75048	76067	1020	1	0.290	11	None	GENOMAD.167592.CP	2.109e-142	452	0	0	0	1	NA	NA	PF05145.15;COG3180;K07120;TIGR03082	Uncharacterized membrane protein AbrB, regulator of aidB expression
CP020618.1_66	76116	76673	558	-1	0.310	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_67	76998	79628	2631	1	0.333	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_68	79640	80908	1269	1	0.296	11	AGGAG	GENOMAD.104630.CP	1.024e-56	207	0	0	0	2561	Caudoviricetes	NA	PF08245.15;PF02875.24;K11754;TIGR01499;COG0285	folylpolyglutamate synthase/dihydrofolate synthase
CP020618.1_69	81865	82548	684	1	0.295	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_70	82626	82907	282	1	0.245	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_71	82999	83178	180	-1	0.267	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_72	83459	83815	357	1	0.294	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_73	83896	84024	129	1	0.295	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_74	84195	85031	837	1	0.308	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_75	85031	85531	501	1	0.240	11	GGA/GAG/AGG	GENOMAD.195310.CV	6.225e-55	190	0	0	0	1	NA	NA	PF04093.15;COG2891;K03571;TIGR03426	Cell shape-determining protein MreD
CP020618.1_76	85684	85992	309	1	0.330	11	AGGAGG	GENOMAD.080110.CV	2.452e-27	107	0	0	0	1	NA	NA	PF00829.24;TIGR00061;K02888;COG0261	ribosomal protein L21
CP020618.1_77	85995	86315	321	1	0.315	11	None	GENOMAD.137750.VC	2.986e-19	84	0	0	0	2561	Caudoviricetes	NA	PF04327.15;K07584;COG2868	Uncharacterized conserved protein YsxB, DUF464 family
CP020618.1_78	86327	86611	285	1	0.386	11	GGAG/GAGG	GENOMAD.080397.CV	1.283e-22	93	0	0	0	2561	Caudoviricetes	NA	PF01016.22;COG0211;TIGR00062	Ribosomal protein L27
CP020618.1_79	86755	88047	1293	1	0.355	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_80	88060	88515	456	1	0.300	11	AGGAGG	GENOMAD.006572.CC	8.012e-19	85	0	0	0	1	NA	NA	PF13710.9;PF18010.4;K06209;COG4492;TIGR00119	ACT domain-containing protein
CP020618.1_81	88527	89132	606	1	0.312	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_82	89162	90157	996	1	0.336	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_83	90167	91192	1026	1	0.332	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_84	91212	92351	1140	1	0.353	11	GGAG/GAGG	GENOMAD.077211.CP	1.482e-07	56	0	0	0	2561	Caudoviricetes	NA	PF01702.21;K00773;TIGR00430;COG0343	tRNA-guanine transglycosylase
CP020618.1_85	92368	92628	261	1	0.322	11	AGGAG	GENOMAD.132394.CP	0.0006343	39	0	0	0	1	NA	NA	PF02699.18;COG1862;TIGR00739	Preprotein translocase subunit YajC
CP020618.1_86	92825	95110	2286	1	0.318	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_87	95236	97509	2274	1	0.311	11	AGGA	GENOMAD.013941.CC	1.578e-31	136	0	0	0	1	NA	NA	PF10141.12;COG4199	Single-strand DNA-specific exonuclease, C terminal domain
CP020618.1_88	97531	98049	519	1	0.329	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_89	98385	100574	2190	1	0.313	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_90	100590	101042	453	1	0.307	11	GGAG/GAGG	GENOMAD.094199.CP	7.725e-19	85	0	0	0	8016	Inoviridae	NA	PF02580.19;COG1490;TIGR00256	D-Tyr-tRNAtyr deacylase
CP020618.1_91	101039	101914	876	1	0.313	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_92	102266	103543	1278	1	0.318	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_93	103543	105309	1767	1	0.336	11	AGGAG	GENOMAD.103290.CV	1.185e-17	90	0	0	0	2561	Caudoviricetes	NA	PF02938.17	GAD domain
CP020618.1_94	105802	106578	777	1	0.319	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_95	106634	107902	1269	-1	0.322	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_96	107986	108408	423	1	0.329	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_97	108518	108661	144	1	0.264	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_98	108760	109764	1005	-1	0.341	11	AGGAG	GENOMAD.133794.CP	1.476e-41	159	0	0	0	1	NA	NA	PF00296.23;TIGR03558;COG2141;K14733	luciferase family oxidoreductase, group 1
CP020618.1_99	109964	111103	1140	1	0.326	11	AGGA/GGAG/GAGG	GENOMAD.121627.VV	4.433e-05	48	0	0	0	2561	Caudoviricetes	NA	K04487	NA
CP020618.1_100	111107	112219	1113	1	0.339	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_101	112306	112977	672	1	0.289	11	GGAG/GAGG	GENOMAD.111768.CP	1.705e-09	60	0	0	0	1	NA	NA	PF16811.8;TIGR02521;COG3063;K19804	type IV pilus biogenesis/stability protein PilW
CP020618.1_102	112979	115402	2424	1	0.309	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_103	115682	118312	2631	1	0.339	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_104	118377	118637	261	1	0.303	11	AGGAG	GENOMAD.111803.CP	1.519e-17	78	0	0	0	1	NA	NA	PF06135.15;COG4472	IreB family regulatory phosphoprotein. IreB (EF1202) was characterized in Enterococcus faecalis as a small protein, well-conserved in the Firmicutes. It belongs to a system that includes the Ser/Thr protein kinase IreK, and phosphatase IreP, undergoes phosphorylation on threonine residues, and is involved in regulating cephalosporin resistance. This family was previously named DUF965 by Pfam model pfam06135
CP020618.1_105	118638	119066	429	1	0.326	11	GGA/GAG/AGG	GENOMAD.063796.CP	8.669e-14	70	0	0	0	1	NA	NA	PF03652.18;K07447;TIGR00250;COG0816	putative transcription antitermination factor YqgF
CP020618.1_106	119081	119389	309	1	0.288	11	AGGAG	GENOMAD.015456.CC	1.942e-45	159	0	0	0	1	NA	NA	PF06949.14;COG3906	Uncharacterized protein YrzB, UPF0473 family
CP020618.1_107	119616	120284	669	1	0.274	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_108	120287	121210	924	1	0.298	11	AGGAG	GENOMAD.085593.CP	4.291e-16	82	0	0	0	1	NA	NA	PF01136.22;K08303;COG0826	Collagenase-like protease, PrtC family
CP020618.1_109	121224	122492	1269	1	0.341	11	GGAGG	GENOMAD.002222.CC	2.529e-29	125	0	0	0	1	NA	NA	PF16325.8	Peptidase family U32 C-terminal domain
CP020618.1_110	122492	123115	624	1	0.319	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_111	123172	123648	477	1	0.319	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_112	123981	124709	729	1	0.300	11	AGGAGG	GENOMAD.147866.CP	5.091e-22	98	0	0	0	1	NA	NA	PF02682.19;COG2049;TIGR00370;K23123	Allophanate hydrolase subunit 1
CP020618.1_113	124699	125703	1005	1	0.326	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_114	125706	126146	441	1	0.293	11	AGGAG	GENOMAD.117180.CP	2.359e-12	66	0	0	0	1	NA	NA	PF00364.25;K02160;TIGR00531;COG0511	acetyl-CoA carboxylase, biotin carboxyl carrier protein
CP020618.1_115	126160	127521	1362	1	0.338	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_116	127518	128273	756	1	0.327	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_117	128286	129524	1239	1	0.320	11	AGxAGG/AGGxGG	GENOMAD.178657.CP	5.316e-78	269	0	0	0	1	NA	NA	PF01566.21;TIGR01197;K03322;COG1914	NRAMP (natural resistance-associated macrophage protein) metal ion transporters
CP020618.1_118	129701	130387	687	1	0.329	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_119	130415	130942	528	1	0.292	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_120	130943	132043	1101	1	0.314	11	GGAGG	GENOMAD.132282.CP	3.913e-38	150	0	0	0	1	NA	NA	NA	NA
CP020618.1_121	132056	132862	807	1	0.306	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_122	132869	133159	291	1	0.275	11	AGGAG/GGAGG	GENOMAD.089546.CP	0.0004093	40	0	0	0	1	NA	NA	PF01985.24;K07574;TIGR00253;COG1534	putative RNA-binding protein, YhbY family
CP020618.1_123	133164	133733	570	1	0.272	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_124	133723	134307	585	1	0.301	11	GGAG/GAGG	GENOMAD.095354.CV	4.364e-11	64	0	0	0	1	NA	NA	PF13023.9;TIGR00488;COG1713;K06951	putative HD superfamily hydrolase of NAD metabolism
CP020618.1_125	134308	134661	354	1	0.299	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_126	134663	135394	732	1	0.276	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_127	135447	136109	663	1	0.252	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_128	136176	136640	465	1	0.310	11	AGGAG	GENOMAD.160798.VP	8.799e-06	47	0	0	0	2561	Caudoviricetes	NA	PF18774.4;K01493;COG2131;TIGR02571	Deoxycytidylate deaminase
CP020618.1_129	136634	137695	1062	1	0.233	11	None	GENOMAD.078812.CP	1.282e-07	56	0	0	0	2561	Caudoviricetes	NA	COG0658;K02238	Predicted membrane metal-binding protein
CP020618.1_130	137810	138823	1014	1	0.241	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_131	138894	139868	975	1	0.245	11	GGA/GAG/AGG	GENOMAD.127311.CV	1.378e-18	90	0	0	0	1	NA	NA	PF06144.16;PF14840.9;TIGR01128;K02340;COG1466	DNA polymerase III, delta subunit
CP020618.1_132	139910	140161	252	-1	0.310	11	AGGAGG	GENOMAD.000070.CC	2.875e-10	57	1	0	0	1	NA	NA	PF01649.21;COG0268;TIGR00029	Ribosomal protein S20
CP020618.1_133	140492	142315	1824	1	0.338	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_134	142398	143519	1122	1	0.289	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_135	143623	144600	978	1	0.289	11	GGAG/GAGG	GENOMAD.093762.CV	1.37e-52	191	0	0	0	2561	Caudoviricetes	NA	PF01628.24;PF03444.18;K03705;TIGR00331;COG1420	heat shock gene repressor HrcA
CP020618.1_136	144632	145255	624	1	0.298	11	GGAGG	GENOMAD.103372.CV	2.515e-15	77	0	0	0	2561	Caudoviricetes	NA	PF01025.22;COG0576	Molecular chaperone GrpE (heat shock protein)
CP020618.1_137	145298	147130	1833	1	0.343	11	GGAGG	GENOMAD.147868.VC	1.284e-17	90	0	0	0	2561	Caudoviricetes	NA	NA	NA
CP020618.1_138	147284	148414	1131	1	0.364	11	AGGAG	GENOMAD.121441.VC	1.291e-11	69	0	0	0	2561	Caudoviricetes	NA	PF01556.21;COG1107	Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain
CP020618.1_139	148417	149355	939	1	0.308	11	GGAG/GAGG	GENOMAD.060882.CP	2.648e-22	101	0	0	0	2561	Caudoviricetes	NA	PF06325.16;K02687;COG2264;TIGR00406	Ribosomal protein L11 methyltransferase (PrmA)
CP020618.1_140	149357	150109	753	1	0.296	11	GGA/GAG/AGG	GENOMAD.065653.CP	6.869e-17	83	0	0	0	1	NA	NA	PF04452.17;PF20260.1;TIGR00046;COG1385;K09761	RNA methyltransferase, RsmE family
CP020618.1_141	150115	151461	1347	1	0.321	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_142	151594	151770	177	1	0.316	11	GGAGG	GENOMAD.129863.VV	0.0004332	38	0	0	0	1	NA	NA	PF01165.23;TIGR00030;COG0828	ribosomal protein S21
CP020618.1_143	151919	152626	708	1	0.273	11	GGAG/GAGG	GENOMAD.000844.CC	3.345e-86	284	0	0	0	1	NA	NA	PF01957.21;COG1585;K07340	Membrane protein implicated in regulation of membrane protease activity
CP020618.1_144	152641	153627	987	1	0.361	11	AGGAG	GENOMAD.000878.CC	1.857e-138	440	0	0	0	1	NA	NA	COG4864	Uncharacterized protein YqfA, UPF0365 family
CP020618.1_145	153644	154339	696	1	0.286	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_146	154614	155561	948	1	0.328	11	AGGAG	GENOMAD.160303.VC	3.662e-06	51	0	0	0	2561	Caudoviricetes	NA	PF02562.19;COG1618;TIGR00041;K21499	PhoH-like protein
CP020618.1_147	155562	156023	462	1	0.268	11	AGGAG	GENOMAD.102005.CV	1.602e-09	58	0	0	0	1	NA	NA	PF02130.20;TIGR00043;COG0319;K03474	rRNA maturation RNase YbeY
CP020618.1_148	156379	156783	405	1	0.365	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_149	156784	157683	900	1	0.322	11	AGGA	GENOMAD.098122.CV	2.853e-05	48	0	0	0	1	NA	NA	PF10662.12;COG1159;TIGR03918;K07893	GTPase Era, involved in 16S rRNA processing
CP020618.1_150	157717	158466	750	1	0.280	11	GGA/GAG/AGG	GENOMAD.001007.CC	1.173e-113	364	0	0	0	1	NA	NA	PF02565.18;PF11967.11;TIGR00613;COG1381;K03584	DNA repair protein RecO
CP020618.1_151	158539	159930	1392	-1	0.328	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_152	160551	160883	333	1	0.282	11	None	GENOMAD.129519.CV	2.367e-23	96	0	0	0	1	NA	NA	PF01978.22;PF00571.31;K23774;COG2524;TIGR00331	Predicted transcriptional regulator, contains C-terminal CBS domains
CP020618.1_153	160894	161706	813	1	0.317	11	GGA/GAG/AGG	GENOMAD.126338.CP	1.048e-80	270	0	0	0	1	NA	NA	PF03618.17;K09773;COG1806	Kinase/pyrophosphorylase
CP020618.1_154	161770	163578	1809	1	0.283	11	GGA/GAG/AGG	GENOMAD.103677.VV	1.689e-11	70	0	0	0	2561	Caudoviricetes	NA	PF13662.9;COG1658;TIGR00334	5S rRNA maturation endonuclease (Ribonuclease M5), contains TOPRIM domain
CP020618.1_155	163852	164958	1107	1	0.353	11	GGAGG	GENOMAD.182050.VC	3.239e-13	74	0	0	0	2561	Caudoviricetes	NA	PF12645.10;K03087;TIGR02997;COG0568	RNA polymerase sigma factor, cyanobacterial RpoD-like family
CP020618.1_156	165062	165751	690	1	0.306	11	AGGAG	GENOMAD.013527.CC	3.41e-06	50	0	0	0	1	NA	NA	NA	NA
CP020618.1_157	165741	166844	1104	1	0.300	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_158	166869	168215	1347	1	0.297	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
